step,S,I,R,ever_reached,strategy,run,seed_node
11,138,207,660,867,random,3,546
12,137,170,698,868,random,3,546
13,134,136,735,871,random,3,546
14,132,110,763,873,random,3,546
15,131,88,786,874,random,3,546
16,130,72,803,875,random,3,546
17,130,57,818,875,random,3,546
18,130,49,826,875,random,3,546
19,130,39,836,875,random,3,546
20,129,32,844,876,random,3,546
21,129,29,847,876,random,3,546
22,129,23,853,876,random,3,546
23,129,17,859,876,random,3,546
24,129,12,864,876,random,3,546
25,129,8,868,876,random,3,546
0,1004,1,0,1,random,4,167
1,994,11,0,11,random,4,167
2,945,59,1,60,random,4,167
3,748,239,18,257,random,4,167
4,418,509,78,587,random,4,167
5,253,567,185,752,random,4,167
6,210,493,302,795,random,4,167
7,182,404,419,823,random,4,167
8,164,349,492,841,random,4,167
9,153,293,559,852,random,4,167
10,145,234,626,860,random,4,167
11,143,181,681,862,random,4,167
12,140,150,715,865,random,4,167
13,139,117,749,866,random,4,167
14,138,90,777,867,random,4,167
15,138,69,798,867,random,4,167
16,138,56,811,867,random,4,167
17,138,41,826,867,random,4,167
18,138,38,829,867,random,4,167
19,138,29,838,867,random,4,167
20,138,26,841,867,random,4,167
21,137,21,847,868,random,4,167
22,137,17,851,868,random,4,167
23,137,14,854,868,random,4,167
24,137,13,855,868,random,4,167
25,137,10,858,868,random,4,167
0,1004,1,0,1,random,5,276
1,1003,1,1,2,random,5,276
2,997,6,2,8,random,5,276
3,972,30,3,33,random,5,276
4,850,147,8,155,random,5,276
5,531,439,35,474,random,5,276
6,291,585,129,714,random,5,276
7,208,541,256,797,random,5,276
8,177,448,380,828,random,5,276
9,162,390,453,843,random,5,276
10,152,334,519,853,random,5,276
11,147,279,579,858,random,5,276
12,143,235,627,862,random,5,276
13,143,195,667,862,random,5,276
14,140,167,698,865,random,5,276
15,138,145,722,867,random,5,276
16,137,118,750,868,random,5,276
17,136,88,781,869,random,5,276
18,136,78,791,869,random,5,276
19,136,66,803,869,random,5,276
20,136,52,817,869,random,5,276
21,135,43,827,870,random,5,276
22,135,36,834,870,random,5,276
23,135,28,842,870,random,5,276
24,135,27,843,870,random,5,276
25,135,23,847,870,random,5,276
0,1004,1,0,1,random,6,701
1,1004,1,0,1,random,6,701
2,1004,1,0,1,random,6,701
3,1004,1,0,1,random,6,701
4,1004,1,0,1,random,6,701
0,1004,1,0,1,random,7,841
1,1003,2,0,2,random,7,841
2,1001,4,0,4,random,7,841
3,988,15,2,17,random,7,841
4,925,74,6,80,random,7,841
5,723,257,25,282,random,7,841
6,404,523,78,601,random,7,841
7,264,572,169,741,random,7,841
8,207,530,268,798,random,7,841
9,177,463,365,828,random,7,841
10,159,383,463,846,random,7,841
11,146,312,547,859,random,7,841
12,139,264,602,866,random,7,841
13,135,206,664,870,random,7,841
14,131,162,712,874,random,7,841
15,128,134,743,877,random,7,841
16,127,112,766,878,random,7,841
17,125,94,786,880,random,7,841
18,125,77,803,880,random,7,841
19,125,60,820,880,random,7,841
20,124,48,833,881,random,7,841
21,124,37,844,881,random,7,841
22,123,28,854,882,random,7,841
23,123,20,862,882,random,7,841
24,123,18,864,882,random,7,841
25,123,14,868,882,random,7,841
0,1004,1,0,1,random,8,274
1,1003,1,1,2,random,8,274
2,999,5,1,6,random,8,274
3,977,27,1,28,random,8,274
4,867,136,2,138,random,8,274
5,560,422,23,445,random,8,274
6,303,607,95,702,random,8,274
7,213,581,211,792,random,8,274
8,179,490,336,826,random,8,274
9,156,412,437,849,random,8,274
10,143,331,531,862,random,8,274
11,138,262,605,867,random,8,274
12,133,213,659,872,random,8,274
13,130,176,699,875,random,8,274
14,128,141,736,877,random,8,274
15,126,112,767,879,random,8,274
16,122,86,797,883,random,8,274
17,122,67,816,883,random,8,274
18,120,59,826,885,random,8,274
19,120,50,835,885,random,8,274
20,120,41,844,885,random,8,274
21,120,28,857,885,random,8,274
22,120,21,864,885,random,8,274
23,120,18,867,885,random,8,274
24,120,11,874,885,random,8,274
25,120,6,879,885,random,8,274
0,1004,1,0,1,random,9,935
1,1004,1,0,1,random,9,935
2,1004,1,0,1,random,9,935
3,1004,1,0,1,random,9,935
4,1004,1,0,1,random,9,935
5,1003,2,0,2,random,9,935
6,1000,5,0,5,random,9,935
7,981,23,1,24,random,9,935
8,890,112,3,115,random,9,935
9,618,364,23,387,random,9,935
10,346,566,93,659,random,9,935
11,232,569,204,773,random,9,935
12,189,496,320,816,random,9,935
13,167,415,423,838,random,9,935
14,150,348,507,855,random,9,935
15,142,289,574,863,random,9,935
16,140,240,625,865,random,9,935
17,139,186,680,866,random,9,935
18,137,155,713,868,random,9,935
19,136,126,743,869,random,9,935
20,134,100,771,871,random,9,935
21,133,82,790,872,random,9,935
22,132,65,808,873,random,9,935
23,132,51,822,873,random,9,935
24,132,38,835,873,random,9,935
25,131,32,842,874,random,9,935
0,1004,1,0,1,random,10,671
1,1003,2,0,2,random,10,671
2,992,13,0,13,random,10,671
3,890,115,0,115,random,10,671
4,600,385,20,405,random,10,671
5,328,580,97,677,random,10,671
6,223,579,203,782,random,10,671
7,175,522,308,830,random,10,671
8,151,438,416,854,random,10,671
9,136,358,511,869,random,10,671
10,130,282,593,875,random,10,671
11,126,232,647,879,random,10,671
12,123,179,703,882,random,10,671
13,122,137,746,883,random,10,671
14,121,112,772,884,random,10,671
15,120,89,796,885,random,10,671
16,119,73,813,886,random,10,671
17,119,60,826,886,random,10,671
18,119,44,842,886,random,10,671
19,119,33,853,886,random,10,671
20,119,25,861,886,random,10,671
21,119,19,867,886,random,10,671
22,119,14,872,886,random,10,671
23,119,11,875,886,random,10,671
24,119,9,877,886,random,10,671
25,118,8,879,887,random,10,671
0,1004,1,0,1,random,11,905
1,1002,2,1,3,random,11,905
2,994,10,1,11,random,11,905
3,935,67,3,70,random,11,905
4,688,302,15,317,random,11,905
5,380,561,64,625,random,11,905
6,250,571,184,755,random,11,905
7,198,500,307,807,random,11,905
8,172,430,403,833,random,11,905
9,157,360,488,848,random,11,905
10,150,299,556,855,random,11,905
11,144,244,617,861,random,11,905
12,139,191,675,866,random,11,905
13,138,156,711,867,random,11,905
14,136,133,736,869,random,11,905
15,135,109,761,870,random,11,905
16,135,92,778,870,random,11,905
17,134,73,798,871,random,11,905
18,134,58,813,871,random,11,905
19,134,48,823,871,random,11,905
20,133,42,830,872,random,11,905
21,133,37,835,872,random,11,905
22,133,31,841,872,random,11,905
23,133,23,849,872,random,11,905
24,133,19,853,872,random,11,905
25,133,16,856,872,random,11,905
0,1004,1,0,1,random,12,271
1,1000,4,1,5,random,12,271
2,978,25,2,27,random,12,271
3,837,162,6,168,random,12,271
4,509,447,49,496,random,12,271
5,288,572,145,717,random,12,271
6,216,532,257,789,random,12,271
7,185,457,363,820,random,12,271
8,162,402,441,843,random,12,271
9,148,343,514,857,random,12,271
10,140,285,580,865,random,12,271
11,137,245,623,868,random,12,271
12,134,205,666,871,random,12,271
13,130,161,714,875,random,12,271
14,127,132,746,878,random,12,271
15,126,111,768,879,random,12,271
16,126,88,791,879,random,12,271
17,126,71,808,879,random,12,271
18,126,60,819,879,random,12,271
19,126,46,833,879,random,12,271
20,126,36,843,879,random,12,271
21,126,29,850,879,random,12,271
22,126,21,858,879,random,12,271
23,126,15,864,879,random,12,271
24,126,13,866,879,random,12,271
25,126,8,871,879,random,12,271
0,1004,1,0,1,random,13,762
1,1004,1,0,1,random,13,762
0,1004,1,0,1,random,14,919
1,1003,1,1,2,random,14,919
2,995,9,1,10,random,14,919
3,955,47,3,50,random,14,919
4,744,251,10,261,random,14,919
5,412,531,62,593,random,14,919
6,249,604,152,756,random,14,919
7,190,537,278,815,random,14,919
8,150,474,381,855,random,14,919
9,144,387,474,861,random,14,919
10,132,330,543,873,random,14,919
11,128,269,608,877,random,14,919
12,125,217,663,880,random,14,919
13,125,185,695,880,random,14,919
14,124,138,743,881,random,14,919
15,124,113,768,881,random,14,919
16,124,92,789,881,random,14,919
17,123,71,811,882,random,14,919
18,123,52,830,882,random,14,919
19,123,37,845,882,random,14,919
20,123,28,854,882,random,14,919
21,123,25,857,882,random,14,919
22,123,18,864,882,random,14,919
23,123,14,868,882,random,14,919
24,123,13,869,882,random,14,919
25,123,11,871,882,random,14,919
0,1004,1,0,1,random,15,370
1,996,9,0,9,random,15,370
2,952,53,0,53,random,15,370
3,735,261,9,270,random,15,370
4,430,523,52,575,random,15,370
5,258,576,171,747,random,15,370
6,198,516,291,807,random,15,370
7,173,446,386,832,random,15,370
8,166,365,474,839,random,15,370
9,157,312,536,848,random,15,370
10,150,263,592,855,random,15,370
11,145,231,629,860,random,15,370
12,144,186,675,861,random,15,370
13,144,156,705,861,random,15,370
14,141,129,735,864,random,15,370
15,141,102,762,864,random,15,370
16,140,80,785,865,random,15,370
17,139,61,805,866,random,15,370
18,139,53,813,866,random,15,370
19,139,43,823,866,random,15,370
20,139,32,834,866,random,15,370
21,139,26,840,866,random,15,370
22,139,20,846,866,random,15,370
23,139,16,850,866,random,15,370
24,139,14,852,866,random,15,370
25,139,13,853,866,random,15,370
0,1004,1,0,1,random,16,521
1,1002,3,0,3,random,16,521
2,1000,5,0,5,random,16,521
3,996,8,1,9,random,16,521
4,978,24,3,27,random,16,521
5,864,132,9,141,random,16,521
6,525,448,32,480,random,16,521
7,268,604,133,737,random,16,521
8,204,563,238,801,random,16,521
9,176,480,349,829,random,16,521
10,159,402,444,846,random,16,521
11,141,342,522,864,random,16,521
12,135,278,592,870,random,16,521
13,132,218,655,873,random,16,521
14,126,183,696,879,random,16,521
15,125,155,725,880,random,16,521
16,125,125,755,880,random,16,521
17,125,103,777,880,random,16,521
18,123,77,805,882,random,16,521
19,122,69,814,883,random,16,521
20,122,59,824,883,random,16,521
21,122,50,833,883,random,16,521
22,122,41,842,883,random,16,521
23,122,35,848,883,random,16,521
24,122,26,857,883,random,16,521
25,122,22,861,883,random,16,521
0,1004,1,0,1,random,17,773
1,1004,1,0,1,random,17,773
2,1003,2,0,2,random,17,773
3,990,14,1,15,random,17,773
4,878,121,6,127,random,17,773
5,560,417,28,445,random,17,773
6,317,580,108,688,random,17,773
7,225,561,219,780,random,17,773
8,182,494,329,823,random,17,773
9,156,422,427,849,random,17,773
10,147,359,499,858,random,17,773
11,144,304,557,861,random,17,773
12,135,259,611,870,random,17,773
13,133,213,659,872,random,17,773
14,133,165,707,872,random,17,773
15,130,145,730,875,random,17,773
16,130,116,759,875,random,17,773
17,130,91,784,875,random,17,773
18,128,72,805,877,random,17,773
19,128,57,820,877,random,17,773
20,128,46,831,877,random,17,773
21,128,37,840,877,random,17,773
22,128,34,843,877,random,17,773
23,128,31,846,877,random,17,773
24,128,23,854,877,random,17,773
25,128,18,859,877,random,17,773
0,1004,1,0,1,random,18,642
1,1003,1,1,2,random,18,642
2,972,32,1,33,random,18,642
3,806,193,6,199,random,18,642
4,494,461,50,511,random,18,642
5,289,575,141,716,random,18,642
6,206,543,256,799,random,18,642
7,178,462,365,827,random,18,642
8,163,388,454,842,random,18,642
9,149,315,541,856,random,18,642
10,144,260,601,861,random,18,642
11,140,208,657,865,random,18,642
12,138,169,698,867,random,18,642
13,134,135,736,871,random,18,642
14,134,108,763,871,random,18,642
15,134,85,786,871,random,18,642
16,134,67,804,871,random,18,642
17,134,54,817,871,random,18,642
18,133,49,823,872,random,18,642
19,131,39,835,874,random,18,642
20,130,32,843,875,random,18,642
21,130,25,850,875,random,18,642
22,130,22,853,875,random,18,642
23,130,19,856,875,random,18,642
24,130,16,859,875,random,18,642
25,130,11,864,875,random,18,642
0,1004,1,0,1,random,19,610
1,1003,2,0,2,random,19,610
2,1000,3,2,5,random,19,610
3,995,7,3,10,random,19,610
4,945,55,5,60,random,19,610
5,733,258,14,272,random,19,610
6,399,547,59,606,random,19,610
7,255,575,175,750,random,19,610
8,204,524,277,801,random,19,610
9,177,441,387,828,random,19,610
10,162,365,478,843,random,19,610
11,150,311,544,855,random,19,610
12,147,246,612,858,random,19,610
13,143,205,657,862,random,19,610
14,135,168,702,870,random,19,610
15,130,128,747,875,random,19,610
16,129,101,775,876,random,19,610
17,129,83,793,876,random,19,610
18,128,64,813,877,random,19,610
19,128,50,827,877,random,19,610
20,128,38,839,877,random,19,610
21,128,25,852,877,random,19,610
22,128,23,854,877,random,19,610
23,128,16,861,877,random,19,610
24,128,13,864,877,random,19,610
25,128,10,867,877,random,19,610
0,1004,1,0,1,random,20,390
1,995,10,0,10,random,20,390
2,964,40,1,41,random,20,390
3,810,182,13,195,random,20,390
4,467,493,45,538,random,20,390
5,268,584,153,737,random,20,390
6,198,534,273,807,random,20,390
7,157,471,377,848,random,20,390
8,140,392,473,865,random,20,390
9,134,310,561,871,random,20,390
10,128,254,623,877,random,20,390
11,125,208,672,880,random,20,390
12,124,169,712,881,random,20,390
13,122,134,749,883,random,20,390
14,118,113,774,887,random,20,390
15,118,88,799,887,random,20,390
16,117,73,815,888,random,20,390
17,116,60,829,889,random,20,390
18,116,51,838,889,random,20,390
19,115,43,847,890,random,20,390
20,115,33,857,890,random,20,390
21,115,29,861,890,random,20,390
22,115,25,865,890,random,20,390
23,115,23,867,890,random,20,390
24,115,18,872,890,random,20,390
25,115,13,877,890,random,20,390
0,1004,1,0,1,random,21,696
1,1004,1,0,1,random,21,696
0,1004,1,0,1,random,22,698
1,1000,5,0,5,random,22,698
2,989,15,1,16,random,22,698
3,922,81,2,83,random,22,698
4,687,294,24,318,random,22,698
5,393,530,82,612,random,22,698
6,249,570,186,756,random,22,698
7,191,516,298,814,random,22,698
8,166,439,400,839,random,22,698
9,153,373,479,852,random,22,698
10,145,316,544,860,random,22,698
11,140,256,609,865,random,22,698
12,137,197,671,868,random,22,698
13,134,151,720,871,random,22,698
14,130,126,749,875,random,22,698
15,130,101,774,875,random,22,698
16,130,76,799,875,random,22,698
17,129,55,821,876,random,22,698
18,129,37,839,876,random,22,698
19,129,31,845,876,random,22,698
20,129,28,848,876,random,22,698
21,129,19,857,876,random,22,698
22,128,17,860,877,random,22,698
23,128,12,865,877,random,22,698
24,128,9,868,877,random,22,698
25,127,9,869,878,random,22,698
0,1004,1,0,1,random,23,787
1,1004,1,0,1,random,23,787
2,1004,1,0,1,random,23,787
3,1004,1,0,1,random,23,787
4,1004,1,0,1,random,23,787
0,1004,1,0,1,random,24,114
1,997,7,1,8,random,24,114
2,936,67,2,69,random,24,114
3,666,325,14,339,random,24,114
4,347,581,77,658,random,24,114
5,228,578,199,777,random,24,114
6,185,508,312,820,random,24,114
7,155,433,417,850,random,24,114
8,147,354,504,858,random,24,114
9,139,294,572,866,random,24,114
10,134,236,635,871,random,24,114
11,132,193,680,873,random,24,114
12,129,158,718,876,random,24,114
13,127,133,745,878,random,24,114
14,124,104,777,881,random,24,114
15,123,87,795,882,random,24,114
16,123,70,812,882,random,24,114
17,123,57,825,882,random,24,114
18,123,47,835,882,random,24,114
19,122,42,841,883,random,24,114
20,122,32,851,883,random,24,114
21,122,26,857,883,random,24,114
22,122,23,860,883,random,24,114
23,122,20,863,883,random,24,114
24,122,17,866,883,random,24,114
25,122,14,869,883,random,24,114
0,1004,1,0,1,random,25,161
1,1003,2,0,2,random,25,161
2,991,12,2,14,random,25,161
3,951,51,3,54,random,25,161
4,742,251,12,263,random,25,161
5,411,531,63,594,random,25,161
6,255,569,181,750,random,25,161
7,195,498,312,810,random,25,161
8,174,428,403,831,random,25,161
9,155,354,496,850,random,25,161
10,148,297,560,857,random,25,161
11,145,235,625,860,random,25,161
12,142,197,666,863,random,25,161
13,142,159,704,863,random,25,161
14,141,123,741,864,random,25,161
15,141,98,766,864,random,25,161
16,140,83,782,865,random,25,161
17,140,68,797,865,random,25,161
18,140,53,812,865,random,25,161
19,139,44,822,866,random,25,161
20,138,36,831,867,random,25,161
21,138,27,840,867,random,25,161
22,138,17,850,867,random,25,161
23,138,15,852,867,random,25,161
24,138,13,854,867,random,25,161
25,138,11,856,867,random,25,161
0,1004,1,0,1,random,26,976
1,1000,5,0,5,random,26,976
2,984,21,0,21,random,26,976
3,865,137,3,140,random,26,976
4,555,417,33,450,random,26,976
5,313,577,115,692,random,26,976
6,219,552,234,786,random,26,976
7,183,471,351,822,random,26,976
8,168,393,444,837,random,26,976
9,157,336,512,848,random,26,976
10,152,270,583,853,random,26,976
11,148,227,630,857,random,26,976
12,145,189,671,860,random,26,976
13,141,151,713,864,random,26,976
14,138,122,745,867,random,26,976
15,138,93,774,867,random,26,976
16,138,75,792,867,random,26,976
17,138,60,807,867,random,26,976
18,138,49,818,867,random,26,976
19,138,41,826,867,random,26,976
20,138,34,833,867,random,26,976
21,137,32,836,868,random,26,976
22,137,27,841,868,random,26,976
23,137,24,844,868,random,26,976
24,137,22,846,868,random,26,976
25,137,16,852,868,random,26,976
0,1004,1,0,1,random,27,995
1,1004,1,0,1,random,27,995
2,1004,1,0,1,random,27,995
3,1004,1,0,1,random,27,995
0,1004,1,0,1,random,28,891
1,1004,1,0,1,random,28,891
2,1004,1,0,1,random,28,891
0,1004,1,0,1,random,29,861
1,1004,1,0,1,random,29,861
2,1004,1,0,1,random,29,861
3,1004,1,0,1,random,29,861
4,1004,1,0,1,random,29,861
5,1004,1,0,1,random,29,861
6,1004,1,0,1,random,29,861
